# cycle	transformer_strain	producer_strain	violacein_e
0.0	0.05	0.05	0.0
1.0	0.05	0.050790603012	0.0
2.0	0.05	0.051603673297	0.0
3.0	0.05	0.05242975944	0.0
4.0	0.05	0.053269069803	0.0
5.0	0.05	0.054121816083	0.0
6.0	0.05	0.054988213366	0.0
7.0	0.05	0.05586848018	0.0
8.0	0.05	0.056762838554	0.0
9.0	0.05	0.057671514068	0.0
10.0	0.05	0.058594735916	0.0
11.0	0.05	0.05953273696	0.0
12.0	0.05	0.060485753789	0.0
13.0	0.05	0.06145402678	0.0
14.0	0.05	0.062437800157	0.0
15.0	0.05	0.063437322056	0.0
16.0	0.05	0.064452844583	0.0
17.0	0.05	0.065484623881	0.0
18.0	0.05	0.066532920193	0.0
19.0	0.05	0.067597997927	0.0
20.0	0.05	0.068680125726	0.0
21.0	0.05	0.069779576532	0.0
22.0	0.05	0.070896627656	0.0
23.0	0.05	0.072031560849	0.0
24.0	0.05	0.073184662373	0.0
25.0	0.05	0.074356223071	0.0
26.0	0.05	0.075546538442	0.0
27.0	0.05	0.076755908717	0.0
28.0	0.05	0.077984638933	0.0
29.0	0.05	0.079233039008	0.0
30.0	0.05	0.080501423823	0.0
31.0	0.05	0.0817901133	0.0
32.0	0.05	0.083099432481	0.0
33.0	0.05	0.084429711612	0.0
34.0	0.05	0.085781286227	0.0
35.0	0.05	0.087154497228	0.0
36.0	0.05	0.088549690979	0.0
37.0	0.05	0.089967219384	0.0
38.0	0.05	0.091407439984	0.0
39.0	0.05	0.09287071604	0.0
40.0	0.05	0.094357416632	0.0
41.0	0.05	0.095867916746	0.0
42.0	0.05	0.097402597372	0.0
43.0	0.05	0.098961845597	0.0
44.0	0.05	0.10054605471	0.0
45.0	0.05	0.10215562428	0.0
46.0	0.05	0.1037909603	0.0
47.0	0.05	0.10545247524	0.0
48.0	0.05	0.10714058818	0.0
49.0	0.05	0.10885572491	0.0
50.0	0.05	0.11059831803	0.0
51.0	0.05	0.11236880707	0.0
52.0	0.05	0.11416763859	0.0
53.0	0.05	0.11599526632	0.0
54.0	0.05	0.11785215123	0.0
55.0	0.05	0.11973876168	0.0
56.0	0.05	0.12165557352	0.0
57.0	0.05	0.12360307022	0.0
58.0	0.05	0.12558174299	0.0
59.0	0.05	0.12759209092	0.0
60.0	0.05	0.12963462107	0.0
61.0	0.05	0.13170984861	0.0
62.0	0.05	0.13381829698	0.0
63.0	0.05	0.13596049799	0.0
64.0	0.05	0.13813699195	0.0
65.0	0.05	0.14034832784	0.0
66.0	0.05	0.14259506342	0.0
67.0	0.05	0.14487776538	0.0
68.0	0.05	0.14719700947	0.0
69.0	0.05	0.14955338068	0.0
70.0	0.05	0.15194747334	0.0
71.0	0.05	0.15437989131	0.0
72.0	0.05	0.15685124811	0.0
73.0	0.05	0.15936216709	0.0
74.0	0.05	0.16191328157	0.0
75.0	0.05	0.164505235	0.0
76.0	0.05	0.16713868116	0.0
77.0	0.05	0.16981428426	0.0
78.0	0.05	0.17253271918	0.0
79.0	0.05	0.17529467156	0.0
80.0	0.05	0.17810083806	0.0
81.0	0.05	0.18095192646	0.0
82.0	0.05	0.18384865589	0.0
